latitude,longitude,elevation
-2.464214392,32.88710872,1162
-2.464214392,32.89609187,1152
-2.464214392,32.90507502,1135
-2.464214392,32.91405818,1144
-2.464214392,32.92304133,1157
-2.464214392,32.93202448,1172
-2.464214392,32.94100764,1170
-2.464214392,32.94999079,1213
-2.464214392,32.95897394,1216
-2.464214392,32.96795709,1188
-2.464214392,32.97694025,1189
-2.464214392,32.9859234,1206
-2.464214392,32.99490655,1239
-2.473197545,32.88710872,1196
-2.473197545,32.89609187,1170
-2.473197545,32.90507502,1150
-2.473197545,32.91405818,1168
-2.473197545,32.92304133,1180
-2.473197545,32.93202448,1218
-2.473197545,32.94100764,1189
-2.473197545,32.94999079,1187
-2.473197545,32.95897394,1235
-2.473197545,32.96795709,1240
-2.473197545,32.97694025,1225
-2.473197545,32.9859234,1202
-2.473197545,32.99490655,1211
-2.482180698,32.88710872,1192
-2.482180698,32.89609187,1201
-2.482180698,32.90507502,1192
-2.482180698,32.91405818,1214
-2.482180698,32.92304133,1192
-2.482180698,32.93202448,1241
-2.482180698,32.94100764,1219
-2.482180698,32.94999079,1196
-2.482180698,32.95897394,1209
-2.482180698,32.96795709,1261
-2.482180698,32.97694025,1249
-2.482180698,32.9859234,1223
-2.482180698,32.99490655,1241
-2.491163851,32.88710872,1223
-2.491163851,32.89609187,1237
-2.491163851,32.90507502,1165
-2.491163851,32.91405818,1192
-2.491163851,32.92304133,1210
-2.491163851,32.93202448,1227
-2.491163851,32.94100764,1255
-2.491163851,32.94999079,1236
-2.491163851,32.95897394,1202
-2.491163851,32.96795709,1228
-2.491163851,32.97694025,1265
-2.491163851,32.9859234,1253
-2.491163851,32.99490655,1250
-2.500147004,32.88710872,1195
-2.500147004,32.89609187,1180
-2.500147004,32.90507502,1165
-2.500147004,32.91405818,1240
-2.500147004,32.92304133,1233
-2.500147004,32.93202448,1239
-2.500147004,32.94100764,1286
-2.500147004,32.94999079,1282
-2.500147004,32.95897394,1225
-2.500147004,32.96795709,1223
-2.500147004,32.97694025,1249
-2.500147004,32.9859234,1270
-2.500147004,32.99490655,1258
-2.509130157,32.88710872,1134
-2.509130157,32.89609187,1136
-2.509130157,32.90507502,1157
-2.509130157,32.91405818,1213
-2.509130157,32.92304133,1279
-2.509130157,32.93202448,1276
-2.509130157,32.94100764,1261
-2.509130157,32.94999079,1286
-2.509130157,32.95897394,1257
-2.509130157,32.96795709,1249
-2.509130157,32.97694025,1248
-2.509130157,32.9859234,1256
-2.509130157,32.99490655,1247
-2.518113309,32.88710872,1138
-2.518113309,32.89609187,1145
-2.518113309,32.90507502,1151
-2.518113309,32.91405818,1183
-2.518113309,32.92304133,1243
-2.518113309,32.93202448,1291
-2.518113309,32.94100764,1250
-2.518113309,32.94999079,1260
-2.518113309,32.95897394,1276
-2.518113309,32.96795709,1276
-2.518113309,32.97694025,1247
-2.518113309,32.9859234,1232
-2.518113309,32.99490655,1233
-2.527096462,32.88710872,1148
-2.527096462,32.89609187,1162
-2.527096462,32.90507502,1170
-2.527096462,32.91405818,1218
-2.527096462,32.92304133,1203
-2.527096462,32.93202448,1219
-2.527096462,32.94100764,1226
-2.527096462,32.94999079,1221
-2.527096462,32.95897394,1246
-2.527096462,32.96795709,1263
-2.527096462,32.97694025,1246
-2.527096462,32.9859234,1222
-2.527096462,32.99490655,1223
-2.536079615,32.88710872,1134
-2.536079615,32.89609187,1135
-2.536079615,32.90507502,1145
-2.536079615,32.91405818,1203
-2.536079615,32.92304133,1273
-2.536079615,32.93202448,1253
-2.536079615,32.94100764,1201
-2.536079615,32.94999079,1204
-2.536079615,32.95897394,1251
-2.536079615,32.96795709,1266
-2.536079615,32.97694025,1240
-2.536079615,32.9859234,1222
-2.536079615,32.99490655,1215
-2.545062768,32.88710872,1136
-2.545062768,32.89609187,1138
-2.545062768,32.90507502,1137
-2.545062768,32.91405818,1217
-2.545062768,32.92304133,1271
-2.545062768,32.93202448,1248
-2.545062768,32.94100764,1251
-2.545062768,32.94999079,1212
-2.545062768,32.95897394,1234
-2.545062768,32.96795709,1256
-2.545062768,32.97694025,1254
-2.545062768,32.9859234,1253
-2.545062768,32.99490655,1219
-2.554045921,32.88710872,1135
-2.554045921,32.89609187,1134
-2.554045921,32.90507502,1134
-2.554045921,32.91405818,1169
-2.554045921,32.92304133,1214
-2.554045921,32.93202448,1223
-2.554045921,32.94100764,1249
-2.554045921,32.94999079,1250
-2.554045921,32.95897394,1237
-2.554045921,32.96795709,1261
-2.554045921,32.97694025,1261
-2.554045921,32.9859234,1261
-2.554045921,32.99490655,1230
